,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,478,695,920,"1,191","1,090",902,849,"1,160","1,670","1,533","1,723","2,340","2,453"
Expenses +,402,579,759,"1,032","1,085",913,775,"1,043","1,539","1,462","1,581","2,184","2,398"
Operating Profit,76,116,161,159,5,-11,74,117,130,70,142,155,54
OPM %,16%,17%,18%,13%,0%,-1%,9%,10%,8%,5%,8%,7%,2%
Other Income +,34,5,6,36,5,2,1,7,1,1,1,3,8
Interest,24,59,91,109,109,118,123,129,79,86,79,74,76
Depreciation,19,29,46,55,53,63,56,57,55,54,55,54,54
Profit before tax,67,34,30,32,-152,-191,-104,-62,-2,-68,8,30,-68
Tax %,25%,23%,33%,34%,32%,5%,10%,10%,-956%,-11%,42%,14%,
Net Profit,50,26,20,21,-104,-182,-94,-56,-21,-76,5,26,-65
EPS in Rs,,,2.28,2.42,-11.76,-20.71,-10.64,-1.44,-0.53,-1.97,0.13,0.67,-1.69
