,Jun 2006,Jun 2007,Jun 2008,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,419,318,297,435,397,644,715,517,788,858,847
Expenses +,350,340,263,360,393,583,649,437,730,865,771
Operating Profit,69,-21,34,75,4,60,66,80,58,-6,76
OPM %,17%,-7%,11%,17%,1%,9%,9%,15%,7%,-1%,9%
Other Income +,2,6,15,8,14,8,-11,9,7,6,7
Interest,14,13,36,48,48,59,62,46,67,65,55
Depreciation,9,11,21,26,26,26,27,20,27,17,14
Profit before tax,48,-40,-7,9,-55,-17,-34,24,-30,-82,14
Tax %,39%,36%,33%,23%,32%,32%,36%,41%,39%,36%,-9%
Net Profit,29,-26,-5,7,-37,-11,-21,14,-18,-53,15
EPS in Rs,25.16,-22.34,-4.05,6.18,-32.28,-9.68,-18.47,12.07,-15.58,-45.41,12.69
