,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,408","1,584","1,831","2,125","2,321","2,128","2,302","2,424","2,707","2,761","3,092","3,433","3,543"
Expenses +,"1,161","1,327","1,517","1,770","1,929","1,723","1,880","1,960","2,208","2,204","2,481","2,864","3,001"
Operating Profit,248,257,313,355,392,404,422,464,499,558,611,569,542
OPM %,18%,16%,17%,17%,17%,19%,18%,19%,18%,20%,20%,17%,15%
Other Income +,26,18,30,21,26,30,52,21,37,3,-2,11,15
Interest,85,84,91,81,79,61,58,55,61,56,43,40,50
Depreciation,107,117,126,126,132,123,141,167,186,230,235,251,259
Profit before tax,82,74,126,169,206,251,274,263,289,275,331,289,249
Tax %,42%,30%,35%,34%,30%,31%,29%,34%,32%,23%,26%,23%,
Net Profit,50,54,84,112,145,173,196,174,195,212,244,221,191
EPS in Rs,0.30,0.33,2.58,3.43,4.48,5.41,6.06,5.46,6.11,6.57,7.58,6.79,5.87
