,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,434,538,698,767,755,671,785,840,665,"1,000",975,"1,080","1,044"
Expenses +,306,342,475,629,639,596,726,791,801,"1,058",769,892,896
Operating Profit,127,196,223,138,116,75,59,49,-136,-58,206,188,148
OPM %,29%,36%,32%,18%,15%,11%,8%,6%,-20%,-6%,21%,17%,14%
Other Income +,42,25,5,7,25,96,41,24,65,162,36,72,114
Interest,4,15,46,121,93,135,162,149,110,126,150,141,137
Depreciation,28,35,67,122,84,89,124,150,153,197,204,223,241
Profit before tax,137,170,115,-98,-36,-53,-186,-226,-333,-219,-112,-103,-115
Tax %,20%,28%,24%,42%,-76%,-72%,-9%,-2%,-3%,39%,88%,102%,
Net Profit,109,123,87,-57,-64,-90,-204,-231,-343,-134,-14,2,-28
EPS in Rs,30.06,34.88,27.85,0.07,6.34,-28.20,-19.66,-60.08,-92.39,-58.48,-8.65,-3.77,-11.27
