,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,891,802,866,"1,022","1,144","1,210","1,344","1,408","1,643","1,775","2,043","2,424","2,820"
Expenses +,698,701,760,874,964,"1,004","1,112","1,191","1,337","1,397","1,482","1,881","2,209"
Operating Profit,193,101,106,148,180,206,232,218,306,378,560,543,610
OPM %,22%,13%,12%,14%,16%,17%,17%,15%,19%,21%,27%,22%,22%
Other Income +,6,789,27,-27,11,58,50,37,41,41,112,39,9
Interest,10,24,4,6,7,11,5,3,5,3,7,5,17
Depreciation,23,22,25,28,39,41,47,57,56,66,69,73,93
Profit before tax,165,843,104,87,146,212,230,194,287,349,597,505,509
Tax %,16%,20%,23%,30%,31%,23%,20%,28%,32%,22%,25%,24%,
Net Profit,139,678,79,62,100,163,184,139,194,272,449,386,385
EPS in Rs,16.49,80.03,9.38,7.26,11.84,19.16,21.70,16.55,24.11,35.20,57.96,49.86,49.79
