,Mar 2010,Mar 2011,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales +,"1,308","2,041","2,267","3,439","3,891","4,118",131,132,109,114
Expenses +,"1,240","1,949","2,159","3,329","3,754","3,977",330,"1,526",102,97
Operating Profit,68,92,108,111,137,141,-200,"-1,395",7,16
OPM %,5%,4%,5%,3%,4%,3%,-153%,"-1,060%",6%,14%
Other Income +,-1,2,3,7,6,5,-9,-4,-5,1
Interest,17,25,40,53,71,85,12,11,53,239
Depreciation,8,12,13,14,21,19,15,13,10,16
Profit before tax,42,56,58,51,52,42,-236,"-1,422",-62,-237
Tax %,38%,34%,24%,16%,20%,7%,20%,-3%,3%,
Net Profit,26,37,44,43,41,39,-189,"-1,464",-61,-233
EPS in Rs,,,1.59,1.53,1.48,1.42,-6.79,-52.54,-2.18,-8.36
