,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,625,748,764,760,835,903,965,"1,013","1,187","1,141","1,108","1,508","1,753"
Expenses +,566,684,697,700,768,834,892,925,"1,077","1,050","1,009","1,357","1,567"
Operating Profit,59,64,67,61,67,68,73,88,110,91,98,151,187
OPM %,9%,9%,9%,8%,8%,8%,8%,9%,9%,8%,9%,10%,11%
Other Income +,4,6,4,4,25,7,10,22,21,26,17,11,17
Interest,1,1,1,4,5,5,4,2,3,10,10,10,11
Depreciation,7,8,11,18,19,21,24,24,27,35,34,40,45
Profit before tax,55,62,59,43,68,50,56,82,100,73,72,113,148
Tax %,17%,18%,31%,30%,31%,31%,28%,31%,31%,19%,28%,27%,
Net Profit,46,51,41,30,47,34,40,57,69,59,51,82,111
EPS in Rs,6.67,7.44,6.02,4.43,6.60,4.66,5.06,7.15,9.67,8.52,6.91,10.18,13.72
