,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,257,257,257,257,257,257,257,257,257,257,257,257
Reserves,"1,334","1,583","1,610","1,596","1,678","1,758","1,760","1,822","1,850","1,908","1,969","2,011"
Borrowings +,15,88,1,3,95,276,175,135,0,0,0,0
Other Liabilities +,163,123,98,97,84,77,154,47,40,44,40,42
Total Liabilities,"1,768","2,051","1,966","1,953","2,114","2,368","2,345","2,261","2,147","2,209","2,266","2,310"
Fixed Assets +,26,24,23,24,24,20,15,130,127,126,125,123
CWIP,0,0,0,0,3,0,0,0,0,0,0,0
Investments,7,134,7,597,32,31,71,366,84,153,138,47
Other Assets +,"1,735","1,893","1,936","1,331","2,056","2,316","2,259","1,764","1,935","1,930","2,003","2,140"
Total Assets,"1,768","2,051","1,966","1,953","2,114","2,368","2,345","2,261","2,147","2,209","2,266","2,310"
