 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E -  GO,RDAXEDG,NDAXEDG,30-Oct-19
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E - DPO,RDAXEDD,NDAXEDD,30-Oct-19
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E-DPGO,RDAXEDDG,NDAXEDDG,30-Oct-19
 NIPPON INDIA MF-NIPPON INDIA Dual Advantage FTF Sr.x Plan E- DP- DPO,RDAXEDDD,NDAXEDDD,30-Oct-19
3M India Limited,BIRLA3M,3MINDIA,15-Jun-04
3P Land Holdings Limited,PDUMJEIND,3PLAND,04-May-18
3P Land Holdings Limited,PDUMJEAGRO,3PLAND,28-Mar-08
63 moons technologies limited,FINANTECH,63MOONS,19-Jan-17
A2Z Infra Engineering Limited,A2ZMES,A2ZINFRA,31-Dec-14
AJR INFRA AND TOLLING LIMITED,GAMMNINFRA,AJRINFRA,16-Aug-21
AMD Industries Limited,AMDMET,AMDIND,25-Feb-08
ANDHRA PAPER LIMITED,ANDPAPER,ANDHRAPAP,05-Mar-20
ANDHRA PAPER LIMITED,IPAPPM,ANDHRAPAP,22-Jan-20
ANDHRA PAPER LIMITED,APPAPER,ANDHRAPAP,21-Jan-14
ANG Industries Limited,ANGAUTO,ANGIND,16-Jun-10
ATN International Limited,ARIHANTCRE,ATNINT,17-Sep-03
AVRO INDIA LIMITED,AVONMPL,AVROIND,01-Nov-19
AXISCADES Technologies Limited,AXIS-IT&T,AXISCADES,08-Oct-14
AXISCADES Technologies Limited,IT&T,AXISCADES,16-Aug-05
AYM Syntex Limited,WELSYNTEX,AYMSYNTEX,03-Feb-16
Aban Offshore Limited,ABANLOYD,ABAN,18-Aug-06
Aban Offshore Limited,ABANLLOYD,ABAN,17-Jan-05
Abhishek Corporation Limited,AML,ABHISHEK,26-Jun-08
Accelya Solutions India Limited,KALECONSUL,ACCELYA,06-Sep-12
Adani Enterprises Limited,ADANIEXPO,ADANIENT,20-Sep-06
Adani Ports and Special Economic Zone Limited,MUNDRAPORT,ADANIPORTS,17-Jan-12
Adani Total Gas Limited,ADANIGAS,ATGL,13-Jan-21
Aditya Birla Chemicals (India) Limited,BCCL,ABCIL,09-Mar-09
Aditya Birla Chemicals (India) Limited,BIHARCAUST,ABCIL,05-Dec-05
Aditya Birla Fashion and Retail Limited,PFRL,ABFRL,29-Jan-16
Aditya Birla Money Limited,APOLLOSIND,BIRLAMONEY,09-Sep-09
Aditya Birla Nuvo Limited,INDRAYON,ABIRLANUVO,07-Dec-05
Ador Welding Limited,ADVANIORLI,ADORWELD,27-Sep-04
Adroit Infotech Limited,SPHEREGSL,ADROITINFO,19-Apr-18
Adroit Infotech Limited,COLORCHIPS,ADROITINFO,13-Oct-15
Adroit Infotech Limited,ARHAMFISCL,ADROITINFO,04-Apr-06
Advani Hotels & Resorts (India) Limited,RAMADHOTEL,ADVANIHOTR,25-Jun-07
Aftek Limited,AFTEKINFO,AFTEK,27-Nov-06
Agro Tech Foods Limited,ITCAGRO,ATFL,31-Dec-02
Ajmera Realty & Infra India Limited,SHREE,AJMERA,23-Jun-09
Akzo Nobel India Limited,ICI,AKZOINDIA,27-May-10
Alembic Limited,ALMBICHEM,ALEMBICLTD,22-Sep-99
Alicon Castalloy Limited,ENKEI,ALICON,04-Mar-11
Ambuja Cement Rajasthan Limited,DLFCEMENT,AMBUJARAJN,20-Aug-01
Ambuja Cements Limited,GUJAMBCEM,AMBUJACEM,24-Jul-07
Amj Land Holdings Limited,PDUMJEPULP,AMJLAND,19-Jan-18
Angel One Limited,ANGELBRKG,ANGELONE,11-Nov-21
Anik Industries Limited,MPGLYCEM,ANIKINDS,21-May-08
Ansal Properties & Infrastructure Limited,ANSALINFRA,ANSALAPI,14-May-10
Ansal Properties & Infrastructure Limited,ANSALPROP,ANSALAPI,27-Jan-06
Apcotex Industries Limited,APCOTEXLAT,APCOTEXIND,01-Nov-06
Arrow Greentech Limited,ARROWCOAT,ARROWGREEN,11-May-16
Arvind Limited,ARVINDMILL,ARVIND,07-Jul-08
Arvind SmartSpaces Limited,ARVINFRA,ARVSMART,05-Dec-16
AstraZeneca Pharma India Limited,ASTRAIDL,ASTRAZEN,10-Apr-07
Atcom Technologies Limited,ATCOIND,ATCOM,29-Apr-04
Atul Limited,ATULPROD,ATUL,10-Mar-05
Aurum PropTech Limited,MAJESCO,AURUM,22-Oct-21
Ausom Enterprise Limited,COREEMBLG,AUSOMENT,01-Dec-09
Ausom Enterprise Limited,COREBIO,AUSOMENT,15-Oct-01
Automotive Stampings and Assemblies Limited,JBMT,ASAL,14-Oct-03
Aventus Buildcon Limited,RATNAINFRA,AVENTUS,03-Aug-17
Axis Bank Limited,UTIBANK,AXISBANK,16-Aug-07
Aztecsoft Limited,AZTEC,AZTECSOFT,20-Sep-06
BALAXI PHARMACEUTICALS LIMITED,ANANDAMRUB,BALAXI,27-Sep-17
BIRLASOFT LIMITED,KPIT,BSOFT,26-Feb-19
BOROSIL RENEWABLES LIMITED,BOROSIL,BORORENEW,20-Feb-20
BS Limited,BSTRANSCOM,BSLIMITED,29-Nov-12
BSEL Infrastructure Realty Limited,BSELINFO,BSELINFRA,12-Mar-04
Baba Agro Food Limited,SKML,BABAFOOD,27-May-19
Bajaj Consumer Care Limited,BAJAJCORP,BAJAJCON,15-Jan-19
Bajaj Finance Limited,BAJAUTOFIN,BAJFINANCE,29-Sep-10
Bajaj Holdings & Investment Limited,BAJAJAUTO,BAJAJHLDNG,14-Mar-08
Balkrishna Paper Mills Limited,NIRVIKARA,BALKRISHNA,06-Sep-16
Banco Products (I) Limited,BANCOPROD,BANCOINDIA,22-Dec-06
Bhagyanagar India Limited,BAGYAMETAL,BHAGYNAGAR,12-Sep-06
Bhansali Engineering Polymers Limited,BHANSALENG,BEPL,21-Mar-05
Bharat Bijlee Limited,BARATBIJLE,BBL,21-Nov-06
Bharat Financial Inclusion Limited,SKSMICRO,BHARATFIN,01-Jul-16
Bharati Defence and Infrastructure Limited,BHARTISHIP,BHARATIDIL,26-Feb-16
Bharti Airtel Limited,BHARTI,BHARTIARTL,19-Jun-06
Birla Cable Limited,BIRLAERIC,BIRLACABLE,26-Sep-16
Birla Corporation Limited,BIRLAJUTE,BIRLACORPN,28-Jul-08
Birla Power Solutions Limited,BIRLAYAMAH,BIRLAPOWER,06-Jun-07
Bkm Industries Limited,MANAKINDST,BKMINDST,23-Nov-17
Black Box Limited,AGCNET,BBOX,03-Dec-21
Black Box Limited,AVAYAGCL,BBOX,08-Jun-10
Black Box Limited,TATATELECM,BBOX,01-Nov-04
Blue Coast Hotels Limited,MOREPENHTL,BLUECOAST,05-Dec-06
Bosch Chassis Systems India Limited,KALYANBRAK,BOSCHCHASY,10-Feb-06
Bosch Limited,MICO,BOSCHLTD,28-Feb-08
Brabourne Enterprises Limited,RPGLS,BRABOURNE,14-Mar-08
Brabourne Enterprises Limited,SEARLEIND,BRABOURNE,05-Dec-06
Brightcom Group Limited,LYCOS,BCG,08-Oct-18
CG Power and Industrial Solutions Limited,CROMPGREAV,CGPOWER,08-Mar-17
CORE Education & Technologies Limited,COREPROTEC,COREEDUTEC,07-Sep-11
Capital First Limited,FCH,CAPF,06-Dec-12
Capri Global Capital Limited,MMFSL,CGCL,05-Aug-13
